;;;;;;;x
PRO_REACTIONARY;PRO-REACTIONARY ;;;;;;;x,
PRO_SOCIALIST;PRO-SOCIALIST ;;;;;;;x,
PRO_FASCIST;PRO-FASCIST ;;;;;;;x,
PRO_LIBERAL;LIBERAL ;;;;;;;x,
PRO_COMMIES;PRO-COMMUNIST ;;;;;;;x,
EVTDESC36940_NEWS_LONG;$COUNTRY$: A treaty formalizing the nation of New Zealand was signed, wherein the Maori Chiefs recognized the sovereignty of $COUNTRY$, and in turn she guaranteed the chiefs their lands, estates, forests and fisheries. Maori and $COUNTRY_ADJ$ versions of the signed document differ, leaving doubt about what was actually agreed upon. While the $COUNTRY_ADJ$ claim Maori agreed to governor's rule over them, the Maori version of the treaty states they should retain a large degree of autonomy and self-governance allowing them to manage their own affairs.;;;;;;;x
EVTDESC36940_NEWS_MEDIUM;$COUNTRY$: A treaty formalizing the nation of New Zealand was signed, wherein the Maori Chiefs recognized the sovereignty of $COUNTRY$, and in turn she guaranteed the chiefs their lands, estates, forests and fisheries.;;;;;;;x
EVTDESC36940_NEWS_SHORT;$COUNTRY$: A treaty formalizing the nation of New Zealand was signed, wherein the Maori Chiefs recognized the sovereignty of $COUNTRY$.;;;;;;;x.;;;;;;;x
EVTDESC36941_NEWS_LONG;$COUNTRY$: Disenchanted with $COUNTRY_ADJ$ attitudes, Maori Chief Hone Heke had the flagstaff in Kororareka repeatedly chopped down in protest leading to what is known as the First Maori War. Resilient and emboldened by early successes, but strained economically, with dwindling food supplies and victims to many epidemic deaths, Maori chiefs eventually asked for ceasefire. The $COUNTRY_ADJ$ maintained their sovereignty over New Zealand, but rebellious Maori chiefs raised their position higher than it ever was, gaining substantial amounts of respect among all tribes.;;;;;;;x
EVTDESC36941_NEWS_MEDIUM;$COUNTRY$: Disenchanted with $COUNTRY_ADJ$ attitudes, Maori Chief Hone Heke had the flagstaff in Kororareka repeatedly chopped down in protest leading to what is known as the First Maori War. Rebellious chiefs earned respect but didn't manage to overthrow the $COUNTRY_ADJ$.;;;;;;;x
EVTDESC36941_NEWS_SHORT;$COUNTRY$: Disenchanted with $COUNTRY_ADJ$ attitudes, Maori Chief Hone Heke had the flagstaff in Kororareka repeatedly chopped down in protest leading to the First Maori War.;;;;;;;x
EVTDESC31100_NEWS_LONG;A $COUNTRY_ADJ$ archaeologist unearthed the remains of the lost city of Troy in Anatolia. This discovery led to an explosion of talent in archeology and captured the imagination of millions. When he excavated the hills in Hisarlik, he uncovered a number of ancient cities, dating back from the Bronze Age to the Roman times. His finds at the site were named Priam's Treasure and acquired by $CAPITAL$ museums. His archaeological effort was inspired by a British diplomat, Frank Calvert, who spent over six decades conducting field work in the area.;;;;;;;x
EVTDESC31100_NEWS_MEDIUM;A $COUNTRY_ADJ$ archaeologist unearthed the remains of the lost city of Troy in Anatolia. This discovery led to an explosion of talent in archeology and captured the imagination of millions. His finds at the site were named Priam's Treasure and acquired by $CAPITAL$ museums.;;;;;;;x
EVTDESC31100_NEWS_SHORT;A $COUNTRY_ADJ$ archaeologist unearthed the remains of the lost city of Troy in Anatolia. This discovery led to an explosion in archeology and captured the imagination of millions.;;;;;;;x
EVTDESC46800_NEWS_LONG;A $COUNTRY_ADJ$ explorer discovered the remains of the lost Inca city of Machu Picchu in $YEAR$. Constructed in the first half of the 15th century, at the height of the power of the Inca Empire, the citadel is believed to have been the estate of the Inca emperor Pachacuti, though some archaeologists also suggested it might have had purely religious character. The $COUNTRY_ADJ$ explorers were the subject of controversy, accused by Peruvian locals of stealing their cultural heritage, when attempting to transport recovered artifacts to $COUNTRY$ for closer examination.;;;;;;;x
EVTDESC46800_NEWS_MEDIUM;A $COUNTRY_ADJ$ explorer discovered the remains of the lost Inca city of Machu Picchu in $YEAR$. Constructed in the first half of the 15th century, at the height of the power of the Inca Empire, the citadel is believed to have been the estate of the Inca emperor Pachacuti.;;;;;;;x
EVTDESC46800_NEWS_SHORT;A $COUNTRY_ADJ$ explorer discovered the remains of the lost Inca city of Machu Picchu in $YEAR$, dating back to the 15th century, the height of power of the Inca Empire.;;;;;;;x
gwar_we_win_large_title;$TAG_3_0_UPPER$ SURRENDERS!;;;;;;;x
gwar_we_win_large_desc;On $DATE_LONG_1$ the Great War between $TAG_0_0$ and $TAG_1_0$ ended in our glorious victory. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end the result was $STRINGS_LIST_4$.;;;;;;;x
gwar_we_win_medium_title;ARMISTICE SIGNED!\n VICTORY!;;;;;;;x
gwar_we_win_medium_desc;On $DATE_LONG_1$ the Great War between $TAG_0_0$ and $TAG_1_0$ ended in our glorious victory. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$.;;;;;;;x
gwar_we_win_small_title;Victory over $TAG_3_0$!;;Sieg �ber $TAG_3_0$!;;;;;;;x
gwar_we_win_small_desc;$STRING_0_0$ has ended with the defeat of $TAG_3_0$.;;$STRING_0_0$ endete mit der Niederlage von $TAG_3_0$.;;;;;;;x
gwar_we_lose_large_title;A SHAMEFUL DAY.\nPEACE WITH $TAG_2_0_UPPER$ SIGNED!;;EIN TAG DER SCHANDE.\nFRIEDEN MIT $TAG_2_0_UPPER$ UNTERZEICHNET!;;;;;;;x
gwar_we_lose_large_desc;On $DATE_LONG_1$ the Great war against $TAG_2_0$ ended in our shameful defeat. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end the result was $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der  Krieg gegen $TAG_2_0$ mit unserer sch�ndlichen Niederlage. Der Krieg, $STRING_0_0$, w�tete von $DATE_SHORT_0$ �ber $STRING_9_0$ und am Ende stand $STRINGS_LIST_4$.;;;;;;;x
gwar_we_lose_medium_title;PEACE WITH $TAG_2_0_UPPER$!;;FRIEDEN MIT $TAG_2_0_UPPER$!;;;;;;;x
gwar_we_lose_medium_desc;On $DATE_LONG_1$ the Great War between $TAG_0_0$ and $TAG_1_0$ ended in our shameful defeat. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$.;;Am $DATE_LONG_1$ endete der Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem Sieg. Der Krieg, bekannt als $STRING_0_0$, w�tete von $DATE_SHORT_0$ �ber $STRING_9_0$.;;;;;;;x
gwar_we_lose_small_title;Peace with $TAG_2_0$;;Frieden mit $TAG_2_0$;;;;;;;x
gwar_we_lose_small_desc;$STRING_0_0$ has ended with our defeat at the hands of $TAG_2_0$;;$STRING_0_0$ endete mit unserer Niederlage durch $TAG_2_0$;;;;;;;x
war_we_win_large_title;ARMISTICE SIGNED!\n $TAG_3_0_UPPER$ SURRENDERS;;WAFFENRUHE!\n $TAG_3_0_UPPER$ GIBT AUF;;;;;;;x
EVTNAME13201_NEWS_TITLE;$COUNTRY_ADJ$ Mission Under Siege!;;;;;;;x,,
EVTDESC13201_NEWS_LONG;After years of resistance against $COUNTRY_ADJ$ influence in their country, the $FROMCOUNTRY_ADJ$ ruling elites have thrown the $COUNTRY_ADJ$ ambassador out of $FROMCOUNTRY$, claiming that the $COUNTRY_ADJ$ barbarians behave unacceptably and in contrary to $FROMCOUNTRY_ADJ$ traditions. This affair is developing into an enormous loss of international face, one which many in the $COUNTRY_ADJ$ government believe can only be avoided through a formal declaration of war against $FROMCOUNTRY$.;;;;;;;x,
EVTDESC13201_NEWS_MEDIUM;After years of resistance against $COUNTRY_ADJ$ influence in their country, the $FROMCOUNTRY_ADJ$ ruling elites have thrown out the $COUNTRY_ADJ$ ambassador, claiming that the foreign barbarians behave unacceptably and in contrary to their traditions.;;;;;;;x
EVTDESC13201_NEWS_SHORT;After years of resistance against $COUNTRY_ADJ$ influence in their country, the $FROMCOUNTRY_ADJ$ ruling elites have thrown out the $COUNTRY_ADJ$ ambassador.;;;;;;;x,
kiel_canal_NEWS_LONG;A combination of commercial and naval interests have led $TAG0_0$ to the idea of constructing an artificial waterway that'd allow vessels to travel between the Baltic and North Seas without having to circumnavigate the stormy seas around Jutland. The 61 miles long canal is being built and is expected to quickly become one of the busiest artificial waterways of the world. The project offers new impetus to commerce for all maritime countries, and proves that nation's greatness can be achieved through manufacture, trade and engineering rather than through war and conquest.;;;;;;;x,,
kiel_canal_NEWS_MEDIUM;The 61 miles long canal is being built and is expected to quickly become one of the busiest artificial waterways of the world. The project offers new impetus to commerce for all maritime countries, and proves that nation's greatness can be achieved through manufacture, trade and engineering rather than through war and conquest.;;;;;;;x,,
kiel_canal_NEWS_SHORT;The 61 miles long Kiel Canal is being built and it is expect to quickly become one of the busiest artificial waterways of the world. The project offers new impetus to commerce for all maritime countries.;;;;;;;x,,
suez_canal_NEWS_LONG;A triumphant day for $TAG0_0$ as the Suez Canal Company starts to dig the Isthmus of Suez. A true marvel of modern engineering, the 102 miles long and 26 feet deep planned Suez Canal is expected to become one of the world's most active shipping lanes, driving down freight costs and bolstering commerce world-wide. 'Shipping fees will never return the costs of maintenance, the route around Africa will remain dominant', sceptics claim in an attempt to diminish the importance of this development.;;;;;;;x,
suez_canal_NEWS_MEDIUM;A triumphant day for $TAG0_0$ as the Suez Canal Company starts to dig the Isthmus of Suez. A true marvel of modern engineering, the 102 miles long and 26 feet deep planned Suez Canal is expected to become one of the world's most active shipping lanes.;;;;;;;x,
suez_canal_NEWS_SHORT;A triumphant day for $TAG0_0$ as the Suez Canal Company starts to dig for the planned 102 miles long and 26 feet deep canal across the Isthmus of Suez.;;;;;;;x,
panama_canal_NEWS_LONG;The beginning of the construction of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal will be 48 miles long, and is in fact a locked waterway 85 feet above sea level with some of the most intricate locks on both ends. It will be built in one of the most unhealthy areas of the entire world, so it's as much a monument to modern engineering as to modern medicine. The canal is expected to quickly become an important conduit to international maritime commerce, experts also claim it to offer great strategic advantage to its controller in times of war.;;;;;;;x
panama_canal_NEWS_MEDIUM;The beginning of the construction of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal will be 48 miles long, and is in fact a locked waterway 85 feet above sea level. To be built in one of most unhealthy places it's a monument to modern engineering as well as medicine.;;;;;;;x
panama_canal_NEWS_SHORT;The construction of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal will be 48 miles long, and is in fact a locked waterway 85 feet above sea level with some of the most intricate locks on both ends.;;;;;;;x
EVTNAME16001_NEWS_TITLE;The American Slavery Debate;;;;;;;x,,
EVTDESC16001_NEWS_LONG;The one issue that the Founding Fathers of $COUNTRY$ were never able to answer conclusively was the question concerning the status of slavery within the union. This inflamed debate has only gained traction in the years since the revolution, and it is presently the singular most important issue on $COUNTRY$'s political agenda. Some radical southerners feel that there is no possible compromise to be found on the issue, and that secession is the only alternative to being dominated into emancipation by the central power in Washington.;;;;;;;x
EVTDESC16001_NEWS_MEDIUM;This debate on slavery is presently the singular most important issue on $COUNTRY$'s political agenda. Some radical southerners feel there is no possible compromise to be found on the issue, and that secession is the only alternative to being dominated by the central government.;;;;;;;x,
EVTDESC16001_NEWS_SHORT;This debate on slavery is the singular most important $COUNTRY_ADJ$ political issue, with some radical southerners feeling the only alternative to being dominated by the government is secession.;;;;;;;x,
EVTDESC16010_NEWS_LONG;$COUNTRY$: The famed hero of the abolitionist movement, the late John Brown, was hanged in Charles Town, Virginia, today after a failed raid on a military armory. Supposedly, Brown had planned to use the arsenal's weapons to arm slaves and incite an open slave rebellion across the entire south. The raid, and John Brown's death, have furthered escalated southern tension over the slavery issue, and in some slave-states there is now even talk of secession from the Union.;;;;;;;x
EVTDESC16010_NEWS_MEDIUM;$COUNTRY$: The famed hero of the abolitionist movement, the late John Brown, was hanged in Charles Town, Virginia, today after a failed raid on a military armory. The raid, and John Brown's death, have furthered escalated southern tension over the slavery issue.;;;;;;;x
EVTDESC16010_NEWS_SHORT;$COUNTRY$: John Brown was hanged in Charles Town, Virginia, today after a failed raid on a military armory, further escalating southern tension over the slavery issue.;;;;;;;x,
EVTDESC16020_NEWS_LONG;$COUNTRY$: Dred Scott, born a slave in Virginia, has, with the help of abolitionist legal advisers, sued his 'owner', claiming that his present residency in a free state requires his emancipation. The United States Supreme Court has not yet ruled on the case � but seems inclined to rule that the property of slave-owners are protected regardless of where in the Union the slave resides. The case has caused enormous alarm among northern abolitionists, who see it as the first step to a full extension of the institution of slavery to the whole Union.;;;;;;;x
EVTDESC16020_NEWS_MEDIUM;$COUNTRY$: A slave has sued his 'owner', claiming that his residency in a free state requires his emancipation. The case has caused  alarm among northern abolitionists, who see its ruling as the first step to a full extension of slavery to the whole Union.;;;;;;;x
EVTDESC16020_NEWS_SHORT;$COUNTRY$: A slave has sued his 'owner', claiming that his residency in a free state requires his emancipation. The case has caused enormous alarm among northern abolitionists.;;;;;;;x,
EVTNAME44807_NEWS_TITLE;The Treaties of Velasco;;;;;;;x,,
EVTDESC44807_NEWS_LONG;In a humiliating blow to Mexico's prestige, General Santa Anna was captured within Texan territory -- found wandering the countryside in an attempt to return to Mexico. While imprisoned, Santa Anna agreed to a series of treaties which recognized Texan independence among other guarantees... all in exchange for his safe return. The question now falls to Mexico whether to honor the Treaties of Velasco, obtained under duress, or to refute them.;;;;;;;x
EVTDESC44807_NEWS_MEDIUM;In a humiliating blow to Mexico's prestige, General Santa Anna was captured within Texan territory -- found wandering the countryside in an attempt to return to Mexico. While imprisoned, Santa Anna agreed to a series of treaties in exchange for his safe return.;;;;;;;x
EVTDESC44807_NEWS_SHORT;In a humiliating blow to Mexico's prestige, General Santa Anna was captured within Texan territory. While imprisoned, Santa Anna agreed to a series of treaties in exchange for his safe return.;;;;;;;x
EVTDESC44830_NEWS_MEDIUM;Emperor Maximilian has never enjoyed popular support in Mexico, and now that insurgents led by Benito Ju�rez have captured him it seems his reign has come to an end. Court-martialed and executed by a firing squad, the new republic was declared only days after his death.;;;;;;;x
EVTDESC44830_NEWS_SHORT;Insurgents led by Benito Ju�rez have captured Emperor Maximilian of Mexico. Court-martialed and executed by a firing squad, the new republic was declared only days after his death.;;;;;;;x,
EVTDESC44835_NEWS_MEDIUM;Porfirio D�az, General of Mexico and considered a hero by some, has overthrown the democratic government of Mexico in a military coup. Planned in secret with several military officers and announced in Oaxaca, it has installed Diaz as a military-backed dictator.;;;;;;;x,
EVTDESC44835_NEWS_SHORT;Porfirio D�az, General of Mexico and considered a hero by some, has overthrown the democratic government of Mexico in a military coup and been installed as a military-backed dictator.;;;;;;;x
EVTDESC16500_NEWS_LONG;$COUNTRY$: Delegates from the northern states are growing increasingly impatient with the deadlock in the American senate on the issue of slavery, citing what they see as an unreasonable balance of power currently controlled by southern interests. This has led to demands for a second constitutional convention and a change to a more proportional system of government based on population-- a demand adamantly opposed by the south, and not universally supported even in the north.;;;;;;;x
EVTDESC16500_NEWS_MEDIUM;$COUNTRY$: Delegates from the northern states are growing increasingly impatient with the deadlock in the American senate on the issue of slavery, and have demanded a second constitutional convention and a change to a more proportional system of government based on population.;;;;;;;x,
EVTDESC16500_NEWS_SHORT;$COUNTRY$: Frustrated northern delegates have demanded a second constitutional convention and a change to a more proportional system of government based on population rather than by state.;;;;;;;x,,
EVTDESC16510_NEWS_LONG;A convention of northern delegates in $COUNTRY$ have convened in Philadelphia to announce the formation of a new union: the Free States of America, free of slavery and dedicated to true freedom for all men. The 'true' American government has decreed this an act of traitors, and is considering whether a peaceful resolution through negotiation is even possible. The so-called Free American government, however, is calling on patriots to rebel against a government held hostage to southern aristocrats and hidebound thinking�and this means war.;;;;;;;x
EVTDESC16510_NEWS_MEDIUM;A convention of northern delegates have convened in Philadelphia to announce the formation of a new union: the Free States of America, free of slavery and dedicated to true freedom for all men. The 'true' American government has decreed this an act of traitors, and declared war.;;;;;;;x
EVTDESC16510_NEWS_SHORT;A new union has been created: the Free States of America, free of slavery and dedicated to true freedom for all men. The 'true' American government has declared this an act of traitors.;;;;;;;x,
EVTDESC96110_NEWS_LONG;Abdul-Aziz, scion of the House of Saud, has returned to $COUNTRY$ from exile in Kuwait. Not only that, reports state the man has managed to forge an alliance with the southern Bedouin tribes and retaken Riyadh from $COUNTRY_ADJ$ control. The rulers of $COUNTRY$ are scrambling to counter this sudden return, recruiting allies against ibn Saud lest their earlier victory over his house be permanently undone.;;;;;;;x
EVTDESC96110_NEWS_MEDIUM;Abdul-Aziz, scion of the House of Saud, has returned to $COUNTRY$ from exile in Kuwait. Not only that, reports state the man has managed to forge an alliance with the southern Bedouin tribes and retaken Riyadh from $COUNTRY_ADJ$ control.;;;;;;;x,
EVTDESC96110_NEWS_SHORT;Abdul-Aziz, scion of the House of Saud, has forged an alliance with the southern Bedouin tribes and retaken Riyadh from $COUNTRY_ADJ$ control.;;;;;;;x
EVTNAME96120_NEWS_TITLE;The War of Arabian Domination;;;;;;;x,,
EVTDESC96120_NEWS_LONG;The lands of Arabia have been split between two competing royal houses for many years: the house of Saud and the house of Rashid, the latter supported at times by the Ottomans and the former often on good terms with the British. Matters have finally come to a head, and a war is brewing to determine the fate of Arabia once and for all. The head of the Rashidi family, ruler of Ha'il, has made a bid for dominance and called on their allies to join them in battle against Nejd.;;;;;;;x
EVTDESC96120_NEWS_MEDIUM;Matters in Arabia have finally come to a head, and a war is brewing to determine the fate of Arabia once and for all. The head of the Rashidi royal family, ruler of Ha'il, has made a bid for dominance and called on their allies to join them in battle against Saudis in Nejd.;;;;;;;x,
EVTDESC96120_NEWS_SHORT;The head of the Rashidi royal family, rulers of Ha'il, has made a bid for dominance and called on their allies to join them in battle against Saudis in Nejd.;;;;;;;x
EVTDESC96121_NEWS_LONG;The lands of Arabia have been split between two competing royal houses for many years: the house of Saud and the house of Rashid, the latter supported at times by the Ottomans and the former often on good terms with the British. Matters have finally come to a head, and a war is brewing to determine the fate of Arabia once and for all. The head of the Saudi family, ruler of Nejd, has made a bid for dominance and called on their allies to join them in battle against Ha'il.;;;;;;;x
EVTDESC96121_NEWS_MEDIUM;Matters in Arabia have finally come to a head, and a war is brewing to determine the fate of Arabia once and for all. The head of the Saudi royal family, ruler of Nejd, has made a bid for dominance and called on their allies to join them in battle against Rashidis in Ha'il.;;;;;;;x,
EVTDESC96121_NEWS_SHORT;The head of the Saudi royal family, ruler of Nejd, has made a bid for dominance and called on their allies to join them in battle against Rashidis in Ha'il.;;;;;;;x
EVTDESC96130_NEWS_LONG;There are rumblings in the international community regarding $COUNTRY$'s warlike demeanor, and some are talking about the need for a united front to contain $COUNTRY_ADJ$ aggression. There are even efforts to stir up their own citizens against them. 'Surely not all people in $COUNTRY$ agree with their government!' commented one leader. $COUNTRY$ will need to be careful, lest they face not a single enemy but that of the world's great powers united against them.;;;;;;;x
EVTDESC96130_NEWS_MEDIUM;There are rumblings in the international community regarding $COUNTRY$'s warlike demeanor, and some are talking about a united front to contain $COUNTRY_ADJ$ aggression. $COUNTRY$ will need to be careful, lest they face the world's great powers united against them.;;;;;;;x
EVTDESC96130_NEWS_SHORT;There are rumblings in the international community regarding $COUNTRY$'s warlike demeanor. $COUNTRY$ will need to be careful, lest they face the world's great powers united against them.;;;;;;;x,
EVTDESC96136_NEWS_LONG;$FROMCOUNTRY_ADJ$ diplomats have approached $COUNTRY$ with an ultimatum: dismantle immediately, or the great powers of the world will be forced to unite against you. It goes without saying that their demands are extremely humiliating, involving the surrender of all conquered territories among many other things. If they do not agree, however, $COUNTRY$ will face a great war which even they may not be able to deal with.;;;;;;;x
EVTDESC96136_NEWS_MEDIUM;$FROMCOUNTRY_ADJ$ diplomats have approached $COUNTRY$ with an ultimatum: dismantle immediately, or the great powers of the world will be forced to unite against you. If they do not agree, $COUNTRY$ will face a great war which even they may not be able to deal with.;;;;;;;x
EVTDESC96136_NEWS_SHORT;$FROMCOUNTRY_ADJ$ diplomats have approached $COUNTRY$ with an ultimatum: dismantle immediately, or the great powers of the world will be forced to unite against you.;;;;;;;x,
EVTDESC96170_NEWS_LONG;A Sudanese religious leader by the name of Muhammad Ahmad has proclaimed himself the Mahdi (or 'guided one') and begun a war to unify the tribes in western and central Sudan. While the local government in Khartoum initially dismissed this man, further reports indicate the Mahdi possesses a great deal of magnetism -- and his rallying call of driving all foreign presence out of the Sudan has gained him a large following. These Mahdists may prove to be a serious threat to $COUNTRY_ADJ$ rule of the Sudan.;;;;;;;x,
EVTDESC96170_NEWS_MEDIUM;A Sudanese religious leader by the name of Muhammad Ahmad has proclaimed himself the Mahdi (or 'guided one') and begun a war to unify the tribes in western and central Sudan. These Mahdists may prove to be a serious threat to $COUNTRY_ADJ$ rule of the Sudan.;;;;;;;x,,
EVTDESC96170_NEWS_SHORT;A Sudanese religious leader by the name of Muhammad Ahmad has proclaimed himself the Mahdi (or 'guided one') and begun a war against $COUNTRY$ to unify the tribes in western and central Sudan.;;;;;;;x,,
EVTDESC95250_NEWS_LONG;Brunei's control over its southern regions has only ever been nominal, and the region has been self-governed under the Sultan of Sarawak. During a recent crisis, an Englishman by the name of James Brooke provided the Brunei Sultan invaluable assistance in restoring order, and has been bestowed with the title of governor of Sarawak�known to the locals as the 'White Rajah'. This has made him the effective ruler, and with British influence his sultanate has become independent in truth.;;;;;;;x
EVTDESC95250_NEWS_MEDIUM;During a recent crisis, an Englishman by the name of James Brooke provided the Brunei Sultan invaluable assistance in restoring order, and has been bestowed with the title of governor of Sarawak�known to the locals as the 'White Rajah'.;;;;;;;x
EVTDESC95250_NEWS_SHORT;An Englishman by the name of James Brooke provided the Brunei Sultan invaluable assistance in restoring order, and has been bestowed with the rulership of Sarawak -- 'the White Rajah'.;;;;;;;x,
EVTDESC95260_NEWS_LONG;With the end of the democratic government of the United States, there is a growing feeling among many Americans that the principles upon which the country was founded no longer apply. Talk of secession is frequent, if quiet, and as unrest begins to grow it's become increasingly more possible that liberal-minded states will attempt to pull out of the Union. Already the rise of a new 'Sons of Liberty' movement heralds resistance against the totalitarian American government.;;;;;;;x,
EVTDESC95260_NEWS_MEDIUM;With the end of the democratic government of the United States, there is a growing feeling among many Americans that the principles upon which the country was founded no longer apply. Already the rise of a new 'Sons of Liberty' movement heralds resistance against the government.;;;;;;;x,
EVTDESC95260_NEWS_SHORT;The rise of a new 'Sons of Liberty' movement in the United States heralds the first resistance against the totalitarian American government.;;;;;;;x,,
EVTDESC95076_NEWS_LONG;A spontaneous protest by young Poles against conscription into the army has quickly erupted into a widespread insurrection across $COUNTRY$, supported by high-ranking Polish and Lithuanian officers and politicians. The eyes of all of Europe are upon $COUNTRY$, and if they deal with the insurgents too harshly it may hurt their relations with other European powers. If they do not, however, the uprising will surely spread even further.;;;;;;;x
EVTDESC95076_NEWS_MEDIUM;A spontaneous protest by young Poles against conscription into the army has quickly erupted into a widespread insurrection across $COUNTRY$, supported by high-ranking Polish and Lithuanian officers and politicians.;;;;;;;x,
EVTDESC95076_NEWS_SHORT;A spontaneous protest by young Poles over conscription into the army has quickly erupted into a widespread insurrection across $COUNTRY$.;;;;;;;x,,
EVTDESC95200_NEWS_LONG;A wave of nascent nationalism has begun stirring among the Turkmen peoples under $COUNTRY_ADJ$ rule. While the notion of a Turkmenian state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time. The $COUNTRY_ADJ$ government has vowed to watch this carefully, and even suppress it if necessary.;;;;;;;x
EVTDESC95200_NEWS_MEDIUM;A wave of nascent nationalism has begun stirring among the Turkmen peoples under $COUNTRY_ADJ$ rule. While the notion of a Turkmenian state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time.;;;;;;;x,
EVTDESC95200_NEWS_SHORT;A wave of nascent nationalism has begun stirring among the Turkmen peoples under $COUNTRY_ADJ$ rule, causing great concern to the $COUNTRY_ADJ$ government.;;;;;;;x,
EVTDESC95201_NEWS_LONG;A wave of nascent nationalism has begun stirring among the Khazak peoples under $COUNTRY_ADJ$ rule. While the notion of a Khazak state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time. The $COUNTRY_ADJ$ government has vowed to watch this carefully, and even suppress it if necessary.;;;;;;;x
EVTDESC95201_NEWS_MEDIUM;A wave of nascent nationalism has begun stirring among the Khazak peoples under $COUNTRY_ADJ$ rule. While the notion of a Khazak state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time.;;;;;;;x,
EVTDESC95201_NEWS_SHORT;A wave of nascent nationalism has begun stirring among the Khazak peoples under $COUNTRY_ADJ$ rule, causing great concern to the $COUNTRY_ADJ$ government.;;;;;;;x,
EVTDESC95205_NEWS_LONG;A wave of nascent nationalism has begun stirring among the Uzbek peoples under $COUNTRY_ADJ$ rule. While the notion of a single Uzbek state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time. The $COUNTRY_ADJ$ government has vowed to watch this carefully, and even suppress it if necessary.;;;;;;;x
EVTDESC95205_NEWS_MEDIUM;A wave of nascent nationalism has begun stirring among the Uzbek peoples under $COUNTRY_ADJ$ rule. While the notion of a single Uzbek state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time.;;;;;;;x,
EVTDESC95205_NEWS_SHORT;A wave of nascent nationalism has begun stirring among the Uzbek peoples under $COUNTRY_ADJ$ rule, causing great concern to the $COUNTRY_ADJ$ government.;;;;;;;x,
EVTDESC95210_NEWS_LONG;A wave of nascent nationalism has begun stirring among the Tajik peoples under $COUNTRY_ADJ$ rule. While the notion of a Tajik state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time. The $COUNTRY_ADJ$ government has vowed to watch this carefully, and even suppress it if necessary.;;;;;;;x
EVTDESC95210_NEWS_MEDIUM;A wave of nascent nationalism has begun stirring among the Tajik peoples under $COUNTRY_ADJ$ rule. While the notion of a Tajik state is still a new concept, the possibility exists for this nationalistic fervor to spread and even lead to full rebellion in time.;;;;;;;x,
EVTDESC95210_NEWS_SHORT;A wave of nascent nationalism has begun stirring among the Tajik peoples under $COUNTRY_ADJ$ rule, causing great concern to the $COUNTRY_ADJ$ government.;;;;;;;x,
